"","logFC","logCPM","F","PValue","FDR"
"RITA1",-0.262167146330202,2.22792787158391,0.489050012188059,0.489827129633392,0.64287558924777
"APOO",-0.22477150923303,1.13493717536349,0.489049754792934,0.489827242941464,0.64287558924777
"RAN",0.185371004640674,5.44915346832481,0.488946418125643,0.489872736449274,0.642887697216245
"WASF3",-0.349058417228925,1.49207430331498,0.487940458104565,0.490315982330691,0.643421757683878
"FAAP24",-0.363340214183584,0.62312579018112,0.487785612974672,0.490384270870223,0.643463734210198
"SLC51A",0.430636521908392,1.70197069854186,0.487398760410479,0.490554948329939,0.643640045454959
"UFC1",-0.158811862126355,4.60497236285887,0.487225663674578,0.490631350574078,0.643692644532315
"SNORA18",0.360238294560628,1.27542112992574,0.486932616398137,0.490760743427139,0.643782076229009
"PSMB7",-0.177943480425405,3.80383081918635,0.486906780934275,0.490772153677231,0.643782076229009
"LINC00161",-0.565865075644319,-0.277110494500354,0.486115571420127,0.491121811251832,0.644159607115292
"KCNQ1OT1",0.239161198632923,6.83281639447475,0.486091094375818,0.49113263512147,0.644159607115292
"ADPRHL2",0.176994947449623,3.26950229562233,0.485830100004871,0.491248073447844,0.644263343440106
"RRP12",-0.296514615308211,5.63709786120809,0.485489780306707,0.491398667134672,0.644413166651564
"PRORSD1P",-0.242832913818246,1.26904898839166,0.48497080411382,0.4916284693507,0.64466683294204
"HIST1H2AB",-0.393067764010311,1.26529485502636,0.484599042870745,0.491793197814608,0.644835137544326
"INTS2",0.152270970008768,4.22092797925721,0.484495311192369,0.491839178449439,0.644847727603162
"ATP5G1",-0.260888879753312,2.54394482713642,0.48431578029774,0.491918775599633,0.644904386974269
"EMC3",-0.301959795364257,7.77558261899915,0.484202044948656,0.491969212909826,0.644922812308798
"CXCL13",-0.870475305425458,-0.969041394446511,0.4839748458612,0.492069993557405,0.645007225157033
"LGMN",-0.228391772873574,2.14169856833598,0.482958602823229,0.492521209689787,0.645550943726794
"GALK2",0.154310981750743,3.8787186913759,0.482790720995002,0.492595818052318,0.645600995992265
"MBOAT4",-0.31470027466854,0.964946152700507,0.482530749577774,0.492711390124853,0.645704724334847
"RBM7",0.221314213562652,4.09349977585134,0.482318981872024,0.492805567216443,0.645780401011213
"VPS53",-0.127929531462444,5.32393581100297,0.482133270930285,0.492888181741204,0.645834170923204
"FKBP2",-0.231664910273046,3.18026366308631,0.48204887574208,0.492925733238318,0.645834170923204
"ZNF35",0.378707298854619,2.38840514312,0.481803270481602,0.49303504276673,0.645834170923204
"VEZT",0.146700356354148,4.48986824125947,0.481635527453481,0.493109722649913,0.645834170923204
"CORO1B",-0.201366040673732,4.83566637756781,0.481624828339994,0.493114486596399,0.645834170923204
"PDZK1IP1",0.360046841286313,5.73514260849506,0.481567693246152,0.493139928219244,0.645834170923204
"ATP6V1H",0.169568514720911,4.06135078603665,0.481566348594204,0.493140527004908,0.645834170923204
"LKAAEAR1",-0.634313734841954,-1.25061358692176,0.481503846884055,0.493168360955776,0.645834170923204
"C10orf105",0.182718154154605,3.71194723503326,0.481490043268495,0.493174508496925,0.645834170923204
"ELAC1",0.231727968925651,1.63370382740561,0.481074506248794,0.493359632434608,0.64602887231557
"NAA16",0.17928849579217,5.17475956995106,0.480752486310243,0.493503175934682,0.646169101537759
"IARS",0.157390938820751,5.31632049678716,0.480658517950172,0.49354507673246,0.64617623385476
"CCR7",0.367872659793802,5.60157841367569,0.480473529845137,0.493627581354076,0.646236521941089
"PRAF2",-0.226020790474377,1.56782744281767,0.480022044673208,0.493829042882888,0.646452523014701
"CD2AP",0.348203647630484,5.9914384125757,0.479841268052985,0.493909748489667,0.646510426947854
"MAPK8",0.174231180119865,4.83845275982768,0.479363349165758,0.494123218798483,0.646742093806536
"MIA3",0.3404824988108,6.26322984796639,0.479228437722988,0.494183507860085,0.646773247218538
"C1orf54",-0.50619457708468,0.629014630527277,0.478576837278886,0.49447487210794,0.647106798300874
"LIPK",-0.749827809195746,-0.862936884344178,0.478414678436894,0.494547427542358,0.647120690354913
"CPM",0.253358491956606,2.77749900353082,0.478384001744152,0.494561155404452,0.647120690354913
"RPL8",-0.255537070030209,8.13734644068282,0.478308359825352,0.494595008063204,0.647120690354913
"EIF4A2",0.202342652331688,7.14401331347814,0.478123436756136,0.494677784985441,0.647181224935562
"PCK2",-0.207885673451494,3.2948831340215,0.477890489852616,0.494782092639513,0.647222293399775
"C20orf27",-0.313084836255789,2.78077352650685,0.477890247528889,0.494782201165539,0.647222293399775
"TAF4B",-0.228186165325156,4.21571009652424,0.477483738482819,0.494964316096649,0.647412741080962
"EPSTI1",0.551530288471501,7.21855251048445,0.477392197184128,0.4950053422354,0.64741863030065
"ANKRD40",-0.14707140458736,3.78578799272173,0.477090674710068,0.49514051714713,0.647547646963998
"LIMD1",-0.200000003759488,4.51180886221182,0.476278386651125,0.495504988254057,0.647930926703196
"BAIAP2_AS1",0.197036699923665,3.17172713737178,0.476184128647504,0.495547311400334,0.647930926703196
"RASGRF2",-0.262190017912693,4.24345924991089,0.476051134213088,0.495607038317201,0.647930926703196
"EPB41L4A",-0.286301677393383,4.57319491958653,0.475986810773487,0.49563592998996,0.647930926703196
"MLH1",0.106228470870809,4.39866003989595,0.475969628776881,0.495643647987774,0.647930926703196
"MIR762HG",-0.327818310765761,0.989301097551394,0.475949024703845,0.495652903424085,0.647930926703196
"BCAS3",0.17804751559679,5.27124134006653,0.475320278900559,0.495935481758215,0.648252514537727
"MIR650",0.658400950654755,1.2658680320162,0.474977881792007,0.496089482533982,0.648343078355749
"ZNF852",0.217004663082399,2.69407257542992,0.474973709856804,0.496091359463043,0.648343078355749
"ZNF224",-0.17778042518204,2.28453367839838,0.474922290636469,0.496114493671295,0.648343078355749
"PLA2G4B",-0.520546313080322,0.0064532672328689,0.474836407071513,0.496153138000722,0.648345781363863
"PARP12",0.228817150505983,5.90899632581975,0.474415360633889,0.496342667868523,0.648545638407595
"ZNF175",0.209871530202324,2.9044099440435,0.47421018319004,0.496435071650954,0.648618565643459
"FBXL20",0.330287009427432,5.68987427216998,0.473500559289963,0.49675488676065,0.648968057454919
"GTF2IP1",0.267174150223332,1.14865978360625,0.473454215660224,0.496775785377738,0.648968057454919
"OR52B4",-0.731061991988039,-1.56985133359069,0.473314077573933,0.496838989740369,0.649002795293868
"RNF170",0.281471528885503,3.16267446456501,0.47318103911572,0.496899004893865,0.64903336237187
"ZNF860",0.45665127108704,1.79587885512555,0.472404739138327,0.497249452041634,0.649443249844533
"C10orf76",-0.120672977775067,4.95868313582172,0.472251105825727,0.497318857671811,0.649486043696347
"NNT_AS1",-0.230805010458554,1.40494689700631,0.472059244017369,0.497405556943011,0.649551414643569
"TESK2",0.177880992036957,3.80193084667277,0.471908122597261,0.497473864651631,0.649578631222013
"EMC2",0.326159499144784,4.98020543736078,0.471808569485713,0.497518872048663,0.649578631222013
"PA2G4",-0.251872252149163,5.93774598393186,0.471769946648202,0.497536335106695,0.649578631222013
"RAVER2",0.212365840737508,3.44179440999306,0.471473451840036,0.497670428500153,0.649705848843255
"ACER2",-0.207963283033535,2.23140300165957,0.471339345064831,0.497731100419057,0.649737203478033
"PRR5L",0.22416513439263,4.82508152591622,0.471165963125645,0.497809559943997,0.649791771691258
"LYPLAL1_AS1",0.338977548510908,0.982540251371564,0.470832397242357,0.497960566669891,0.649941020896141
"ABHD17A",-0.280101420315313,5.18676393244431,0.470726970557517,0.498008310244418,0.649955478382606
"ZCCHC8",-0.163124940281529,4.57668379151856,0.470405631651967,0.498153880718956,0.650038643156352
"LINC00920",-0.501844368311347,-0.113719356757754,0.470358600381902,0.498175192630161,0.650038643156352
"TMEM126A",-0.216745526062438,2.41774663367495,0.470343474582463,0.498182047121688,0.650038643156352
"PPP3CB_AS1",0.180021120232455,2.52852241178524,0.470180882323748,0.498255738628481,0.650086944128401
"DNAJB2",-0.248783808686318,6.45387678451537,0.469937141176393,0.498366244449941,0.650109805691836
